SubjectID,ErrorQuotient
apercevra.conter,0.785714
atroce.adjugerez,0.0
avereront.vouees,0.142857
avouait.happes,0.0
becquee.aerait,0.466667
borderais.calmait,0.416667
cokefier.survolait,0.0
cougouars.balayes,0.0
crantes.mutes,0.2
debacler.decores,0.4
decalques.avenu,0.6
decernera.promesse,0.25
deprime.grondions,0.0
deraser.mouilliez,0.53125
dotait.huilerons,0.0
egalisiez.pendrons,0.0
forestier.redonnes,0.0
fouinez.superflu,0.090909
gueules.bouderons,0.5
haschich.ecoeurait,0.0
importons.boulaie,0.0
irriteras.taquinant,0.125
lamineurs.etatisees,0.3
matraque.ramier,0.0
neuviemes.doperiez,0.2
offrirait.rendors,0.454545
pervenche.saturera,0.0
plastique.ratatines,0.357143
postuler.petrifie,0.0
rayonnage.atterrait,0.0
reclus.ridee,0.0
reformais.glissais,0.0
roulant.vrilla,0.0
sachent.gares,0.0
sommes.leveras,0.0
sondez.diligence,0.2
sulfatees.frisa,0.315789
tisses.indolent,0.294118
tonifiais.tour,0.636364
vaches.recopiera,0.333333
verrues.clamais,0.0
